,name,companyName,website,phone,email,countryName,mainStandHolderName
0,123COMPARE.ME,123COMPARE.ME@WTMKT21,https://123compare.me,,,Spain,Catalan Tourist Board
1,365 Adventures,365 Adventures@WTMKT21,,,,Qatar,Qatar Tourism
2,3FULLSTEPS.COM,3FULLSTEPS.COM,,,,Cyprus,
3,3HB Hotels,3HB Hotels@WTMKT21,https://www.3hb.com,+351 289 003 003,info@3hb.com,Portugal,Turismo de Portugal I.P
4,5 DIAMOND EXPERIENCE,5 DIAMOND EXPERIENCE@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
5,A CORUÑA PROVINCE,A CORUÑA PROVINCE@WTMKT21,,,,Spain,Turespana
6,AAA hotels and Resort Pvt Ltd,AAA hotels and Resort Pvt Ltd@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
7,ABBA HOTELS,ABBA HOTELS@WTMKT21,,,,Spain,Turespana
8,Abbey Tours,Abbey Tours@WTMKT21,,,,United Kingdom,Tourism Ireland
9,Abbey Travelindo,Abbey Travelindo@WTMKT21,http://www.abbey.travel,+62361759736,dudy.dps@abbey.travel,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
10,ABTA - The Travel Association,ABTA Ltd,https://www.abta.com,+442031175000,membership@abta.co.uk,United Kingdom,
11,Abu Dhabi Motorsports Management (ADMM),Abu Dhabi Motorsports Management (ADMM)@WTMKT21,https://www.yasmarinacircuit.com/,+971506416279,renukaa.devi@ymc.ae,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
12,Abu Dhabi National Hotels,Abu Dhabi National Hotels@WTMKT21,,,,United Arab Emirates,Department of Culture and Tourism – Abu Dhabi
13,Acampora Travel Dmc  & Acampora Hotels - Italy,Acampora Hotels Srl,https://www.acamporatravel.it,0039 08118658558,info@acamporatravel.it,Italy,
14,Acampora Travel,Acampora Travel@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
15,"ACAVe Incoming Travel Agencies: goEs Travel, The Bicester Village Shopping Collection & Temps d'Oci Incoming",ACAVE@WTMKT21,https://www.acave.travel,,,Spain,Catalan Tourist Board
16,Accor Hotels Indonesia,Accor Hotels Indonesia@WTMKT21,https://all.accor.com/indonesia,+6281916695529,Lin.PARLINA@accor.com,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
17,Accueil & Tradition (Restaurants & Events),Accueil & Tradition (Restaurants & Events)@WTMKT21,,,,Belgium,Belgium - visit.brussels
18,Adaaran Select Meedhupparu,Adaaran Select Meedhupparu@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
19,Address Beach Resort Fujairah ,Address Beach Resort Fujairah@WTMKT21,https://www.addresshotels.com/en/resorts/address-beach-resort-fujairah/,+97192047777,SSudha@addresshotels.com,United Arab Emirates,"Fujairah Tourism & Antiquities Authority, Government of Fujairah"
20,ADORE Africa | Scintillating Travel By Design,ADORE Africa@WTMKT21,https://www.adoreafrica.com,+27828084385,lizle@adoreafrica.com,South Africa,South African Tourism
21,ADRAMAR INCOMING SERVICES MALLORCA - MENORCA - IBIZA,VIAJES ADRAMAR S.A.@WTMKT21,,,,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
22,Adriatic DMC,Adriatic DMC@WTMKT21,https://www.adriaticdmc.hr/,+385 20 400 586,adriatic@adriaticdmc.hr,Croatia,Croatian National Tourist Board
23,Adriatic Luxury Hotels,Adriatic Luxury Hotels@WTMKT21,https://www.adriaticluxuryhotels.com/,+38520300300,reservations@alh.hr,Croatia,Croatian National Tourist Board
24,Adventure Indonesia,Adventure Indonesia@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
25,AEGEAN AIRLINES,AEGEAN AIRLINES@WTMKT21,https://en.aegeanair.com/,(+30) 210 6261000 ,,Greece,Greek National Tourism Organisation
26,Africa Israel Hotels,Africa Israel Hotels@WTMKT21,,,,Israel,Israel Government Tourist Office
27,Africa True Travel,Africa True Travel@WTMKT21,https://www.africatruetravel.co.za,+27797722770,priscilla@africatruetravel.co.za,South Africa,South African Tourism
28,AfricaMuseum,AfricaMuseum@WTMKT21,,,,Belgium,Belgium - visit.brussels
29,African Safari Collective,African Safari Collective@WTMKT21,,,,South Africa,South African Tourism
30,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)",Agència d'Estratègia Turistica de les Illes Balears (AETIB),https://www.illesbalears.travel,++34 971176699,info@illesbalears.travel,Spain,
31,AGENCIA DE VIAJES ANITA,AGENCIA DE VIAJES ANITA @WTMKT21,,,,Panama,VISIT PANAMA
32,Agency Van Gogh DMC,Agency Van Gogh DMC@WTMKT21,https://www.slovenia-balkans.com/,,incoming@agencija-vangogh.si,Slovenia,Slovenian Tourist Board
33,Airport Direct ehf,Airport Direct ehf,,,,Iceland,
34,AITKEN SPENCE HOTELS,Aitken Spence Hotel Managements (Pvt) Ltd @WTMKT21,,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
35,AITKEN SPENCE TRAVELS,AITKEN SPENCE TRAVELS PVT LTD@WTMKT21,,,,Sri Lanka,Sri Lanka Tourism Promotion Bureau
36,"Al Messila Resort & Spa, Doha","Al Messila Resort & Spa, Doha @WTMKT21",,,,Qatar,Qatar Tourism
37,ALAYA RESORT UBUD,ALAYA RESORT UBUD@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
38,ALCUDIA,ALCUDIA AJUNTAMENT@WTMKT21,,,,Spain,"BALEARIC ISLANDS (Mallorca, Menorca, Ibiza & Formentera)"
39,ALDEMAR RESORTS,ALDEMAR RESORTS@WTMKT21,,,,Greece,Greek National Tourism Organisation
40,Alentajaya Tour & Travel,Alentajaya Tour & Travel@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
41,Alentejo Tourism Bureau,Alentejo Tourism Bureau@WTMKT21,,,,Portugal,Turismo de Portugal I.P
42,ALEXANDER BEACH HOTEL & VILLAGE RESORT,ALEXANDER BEACH HOTEL & VILLAGE RESORT@WTMKT21,http://www.alexander-beach.com,+30 28970 32134,info@alexander-beach.com,Greece,Greek National Tourism Organisation
43,Algarve Tourism Bureau,Algarve Tourism Bureau@WTMKT21,https://www.visitalgarve.pt,+351289800506,ata@atalgarve.pt,Portugal,Turismo de Portugal I.P
44,Alicante City Tourist Board,Alicante City Tourist Board@WTMKT21,,,,Spain,VALENCIA REGION
45,Alila Hotels and Resorts Bali,Alila Hotels and Resorts Bali@WTMKT21,,,,Indonesia,The Ministry of Tourism and Creative Economy of the Republic of Indonesia
46,ALILAGUNA VENEZIA,ALILAGUNA VENEZIA@WTMKT21,,,,Italy,VENETO - Regional Tourism Board
47,Allbeds,Allbeds@WTMKT21,,,,Spain,VALENCIA REGION
48,ALLEGROITALIA TORINO GOLDEN PALACE,ALLEGROITALIA TORINO GOLDEN PALACE@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
49,AlliedTPro,AlliedTPro@WTMKT21,http://www.alliedtpro.com,212-596-1000,sales@alliedtpro.com,United States,USA Pavilion
50,Aloft Kathmandu,Aloft Kathmandu@WTMKT21,,,,Nepal,Nepal Tourism Board
51,ALPINE STERLING DMC,ALPINE STERLING DMC @WTMKT21,,,,Malta,MALTA TOURISM AUTHORITY
52,AMAALA,AMAALA@WTMKT21,,,,Saudi Arabia,Saudi Tourism Authority
53,Amadeus River Cruises,Amadeus River Cruises,https://www.amadeus-rivercruises.com,+13033390660,marcus@amadeus-rivercruises.com,United States,
54,Amalficoast.com,Amalficoast.com@WTMKT21,,,,Italy,ENIT - AGENZIA NAZIONALE DEL TURISMO
55,Amari Havodda Maldives,Amari Havodda Maldives@WTMKT21,,,,Maldives,Maldives Marketing and Public Relations Corporation
56,AMARI/OZO SRI LANKA,ONYX HOSPITALITY GROUP @WTMKT21,https://www.onyx-hospitality.com/,+94 (0)11 255 5570,pandula.weerakoon@onyx-hospitality.com,Sri Lanka,Sri Lanka Tourism Promotion Bureau
57,Amazing Africa,Amazing Africa@WTMKT21,http://www.amazing-africa.co.za,0027791378158,mirjam@amazing-africa.co.za,South Africa,South African Tourism
58,Amazing Evolution,Amazing Evolution@WTMKT21,,,,Portugal,Turismo de Portugal I.P
59,Amazing Jerusalem Boutique & Private Tours,Amazing Jerusalem Boutique & Private Tours@WTMKT21,https://www.amazingjerusalem.com/,+972 (0)3 374 1993,info@amazingjerusalem.com,Israel,Israel Government Tourist Office
60,AMAZON EXPLORAMA LODGES,AMAZON EXPLORAMA LODGES@WTMKT21,,,,Peru,PROMPERÚ
61,AMAZON MUYUNA LODGE,AMAZON MUYUNA LODGE@WTMKT21,,,,Peru,PROMPERÚ
62,AMAZON RIVER EXPEDITIONS,AMAZON RIVER EXPEDITIONS @WTMKT21,,,,Peru,PROMPERÚ
63,Ambassador Travel Croatia,Ambassador Travel Croatia,http://www.ambassadortravel.hr,++385993844500,cruises@ambassadortravel.hr,Croatia,
64,Amber Tours,Amber Tours@WTMKT21,https://www.ambertours.lt,+370 52430320,incoming@ambertours.lt,Lithuania,Lithuania Travel -  National Tourism Development Agency
65,AMERI-TRIP CORP,AMERI-TRIP CORP @WTMKT21,,,,United States,USA Pavilion
66,American Queen Voyages,American Queen Voyages@WTMKT21,http://www.aqvoyages.com,+1-812-3890449,Maria.Whitehorn@AQVoyages.com,United States,USA Pavilion
67,American Society Of Travel Agents,American Society Of Travel Agents,,,,United States,
68,Amiel Tours,Amiel Tours@WTMKT21,,,,Israel,Israel Government Tourist Office
69,Amiens Metropole Tourist Office & Convention Bureau,Amiens Metropole Tourist Office & Convention Bureau@WTMKT21,,,,France,ATOUT FRANCE
